,Country Name,2016,2017,per
142,卢森堡,100738.6842,104103.0367,0.032317525085221586
144,中国澳门特别行政区,74017.18471,80892.82132999999,0.08499687001830514
35,瑞士,79866.03187,80189.69686,0.004036241595538939
175,挪威,70890.03557000001,75504.56626,0.0611159154813215
112,冰岛,60529.92676,70056.87339,0.13598874983992476
109,爱尔兰,64100.42995,69330.69015,0.07543932115321655
198,卡塔尔,59324.33877,63505.80525,0.06584384629939002
249,美国,57588.53807,59531.661960000005,0.032640175429767264
168,北美,56058.643520000005,58070.066139999995,0.03463785653611433
206,新加坡,55243.13288,57714.29663,0.04281718558994764
56,丹麦,53578.75657,56307.5083,0.04846159619533375
11,澳大利亚,49896.6811,53799.938089999996,0.07255132865525561
221,瑞典,51844.76126,53442.00828,0.029887481241938133
210,圣马力诺,47908.56141,49664.02557,0.035346795590013545
174,荷兰,45637.88675,48223.15549,0.05361052618251215
12,奥地利,44731.01086,47290.91165,0.05413092496388785
94,中国香港特别行政区,43737.04197,46193.614519999996,0.053179916218428824
73,芬兰,43433.03222,45703.32787,0.04967462449250307
33,加拿大,42348.94546,45032.11991,0.05958356958016899
53,德国,42232.57421,44469.909060000005,0.050311208124606994
15,比利时,41260.97755,43323.80734,0.04761423145041611
178,新西兰,40331.9591,42940.57829,0.06074951232334691
196,人口紅利之後,41039.39856,42521.32043,0.034851266494406896
93,高收入国家,39675.03736,41211.11695,0.03727342774678183
6,阿拉伯联合酋长国,38517.80039,40698.84934,0.053589941371055085
113,以色列,37180.84981,40270.25135,0.07671671858089853
79,英国,40412.03362,39720.44343,-0.017411441823876
4,安道尔共和国,37231.815669999996,39146.548839999996,0.048911927787706345
75,法国,36870.21913,38476.658639999994,0.041751013907687824
117,日本,38972.340639999995,38428.09732,-0.014162640306334951
179,经合组织成员,36911.56276,38195.537019999996,0.03361581902429279
66,欧洲货币联盟,35038.55124,36869.054430000004,0.04964876963349892
71,欧洲联盟,32259.867260000003,33715.127360000006,0.04316341695705826
114,意大利,30668.98143,31952.975919999997,0.04018387812185969
21,巴哈马,30260.305910000003,30762.01244,0.01630928831390837
124,大韩民国,27608.24743,29742.838860000003,0.07176824781412287
125,科威特,27368.28668,29040.36371,0.05757768899513553
29,文莱达鲁萨兰国,26939.41805,28290.5852,0.04776031108752042
68,西班牙,26616.7578,28156.81584,0.05469574573884062
157,马耳他,24770.806569999997,26945.98388,0.08072361802362968
51,塞浦路斯,23666.97357,25233.57098,0.062083856907992896
20,巴林,22560.58127,23655.0356,0.046267287376223626
220,斯洛文尼亚,21650.21276,23597.29173,0.08251281512634849
63,欧洲与中亚地区,22245.27367,23416.107819999997,0.05000122817165944
192,葡萄牙,19871.718969999998,21136.29721,0.05982969615897081
203,沙特阿拉伯,19982.08563,20760.90601,0.03751379538180364
52,捷克共和国,18483.716480000003,20368.13856,0.09251812945247348
69,爱沙尼亚,17736.8027,19704.65504,0.09986738341804542
87,希腊,17881.5267,18613.42387,0.039320931770088156
219,斯洛伐克共和国,16529.54097,17604.95098,0.061085657734674545
123,圣基茨和尼维斯,16596.826569999997,17090.15234,0.0288660838233349
28,巴巴多斯,15891.62655,16788.68392,0.05343226272378345
141,立陶宛,14912.68654,16680.6781,0.10599038896386355
248,乌拉圭,15298.35089,16245.59837,0.0583079464619314
240,特立尼达和多巴哥,16352.109730000002,16145.18457,-0.012816524896500611
180,阿曼,15102.382309999999,15668.36663,0.03612273910646941
143,拉脱维亚,14070.42265,15594.28602,0.09771934207475817
224,塞舌尔,15060.99099,15504.46446,0.02860295311354463
37,智利,13960.894209999999,15346.4497,0.09028508333103263
183,巴拿马,14332.97248,15087.681630000001,0.05002154529158106
10,安提瓜和巴布达,14462.176280000001,15021.73818,0.037250143311977145
7,阿根廷,12654.355,14401.97485,0.12134584792723763
99,匈牙利,12820.0882,14224.846459999999,0.0987538434210979
34,中歐和波羅的海,12748.92339,14122.33585,0.09725108329016263
188,波兰,12415.043290000001,13811.66424,0.10111894741513051
186,帕劳,14077.09622,13417.29026,-0.0491757983329191
97,克罗地亚,12298.57035,13294.51493,0.07491394648424374
181,其他小国,12142.24577,13134.4241,0.07554029947913747
216,小国,11129.10653,11933.395559999999,0.06739817061758405
46,哥斯达黎加,11732.71055,11630.6684,-0.008773541338346411
199,罗马尼亚,9532.167174,10813.7166,0.1185114677408875
200,俄罗斯联邦,8759.036118,10743.096590000001,0.18468236372805438
257,世界,10200.8606,10714.46595,0.04793569295910636
165,毛里求斯,9681.618567,10547.21683,0.0820688791130124
242,土耳其,10862.72538,10540.618,-0.030558680714925773
150,马尔代夫,9871.906911,10535.7947,0.06301259733164698
88,格林纳达,9841.76405,10376.22703,0.05150841230196177
61,东亚与太平洋地区,9793.321179999999,10369.69141,0.05558219692479745
167,马来西亚,9508.23775,9944.9043,0.04390857235297879
86,赤道几内亚,9217.889528,9850.013584999999,0.06417494265821352
27,巴西,8639.365743,9821.407686,0.12035361740302775
131,圣卢西亚,9364.821525,9574.302496,0.021879502040751155
47,加勒比小国,9355.868253,9517.932644,0.01702726811185867
132,拉丁美洲与加勒比海地区,8406.715811,9244.407597,0.09061605919148866
234,拉丁美洲与加勒比海地区 (IBRD与IDA),8260.906648999999,9083.073054999999,0.09051632647030387
140,後期人口紅利,8155.012927,8977.541852,0.09162072854238591
152,墨西哥,8443.691923999999,8902.830823,0.05157223675573391
118,哈萨克斯坦,7714.841844,8837.457301999999,0.12702923698946086
38,中国,8117.267465000001,8826.994095999999,0.08040411302887518
247,中高等收入国家,7864.504365000001,8605.07597,0.08606218092459202
128,黎巴嫩,8257.294391,8523.74955,0.03126032240119033
229,欧洲与中亚地区 (IBRD与IDA),7611.315282,8477.829538,0.10220944548555046
177,瑙魯,7821.298918,8343.827999,0.06262462278256736
126,拉丁美洲与加勒比海地区（不包括高收入）,7583.379431,8313.226892,0.08779352115390336
19,保加利亚,7469.447703,8031.598442,0.06999238608099732
130,利比亚,5125.675283,7998.028819,0.3591326814397667
62,欧洲与中亚地区（不包括高收入）,7122.575846,7942.560389,0.10323932118106814
160,黑山,7028.940132,7669.571906,0.0835290133336942
55,多米尼克,7906.721742000001,7609.6143489999995,-0.03904368597063593
31,博茨瓦纳,6954.174306,7595.59585,0.08444650777463361
233,土库曼斯坦,6389.334143,7355.8313450000005,0.13139197415897255
151,中东与北非地区,7195.352317,7349.947862999999,0.02103355681993898
78,加蓬,7078.68326,7220.687234999999,0.01966626864984267
228,东亚与太平洋地区 (IBRD与IDA),6648.953715,7202.9033549999995,0.07690643795955802
251,圣文森特和格林纳丁斯,6982.256556,7185.179118999999,0.028241823848678252
